Stock,RMSE,Sharpe_Ratio,Strategy_Return
AOT,0.2192669939903912,0.29,-0.0009
ADVANC,1.550879835115433,0.53,0.05
BANPU,0.3238378156760685,-1.36,-0.42840000000000006
BBL,2.154592625663672,-1.52,-0.3013
BDMS,0.1651354914203875,0.94,0.1382
BEM,0.04475781046854065,1.1,0.1949
BH,2.331860934022957,1.72,0.32630000000000003
BTS,0.1953510572455987,-0.08,-0.0739
CBG,1.152656466123052,-0.87,-0.2852
CENTEL,0.3826770445867493,0.71,0.1045
COM_7,0.08091671953056097,-1.8,-0.4397
CPALL,0.3391906373168317,0.34,0.0236
CPF,0.3584238660947793,1.84,0.38189999999999996
CPN,0.9312458974992249,0.35,-0.001
DELTA,0.1257973086926392,-0.41,-0.18359999999999999
EA,0.5653846057988077,1.96,0.4618
EGCO,6.740709449617619,-1.71,-0.3614
GLOBAL,0.1199339912547336,1.08,0.2187
GPSC,0.8788681751799536,-0.42,-0.1962
HMPRO,0.08933072330120627,1.25,0.2662
INTUCH,0.5426352508292208,0.78,0.0975
IVL,0.6810675004375992,0.69,0.09380000000000001
KBANK,2.179285697885352,-0.97,-0.2613
KTB,0.1643389776016528,-1.66,-0.3221
KTC,0.4836993380622772,0.05,-0.0808
LH,0.1457633685785464,-0.82,-0.1882
MINT,0.5738453138631854,-0.79,-0.30210000000000004
MTC,0.3590368181326592,2.1,0.7437
PTT,0.1779247080958503,0.48,0.0327
PTTEP,0.9036125747765016,-0.65,-0.3097
PTTGC,1.129045828701208,0.1,-0.1014
RATCH,0.2524386140768907,1.08,0.1833
SAWAD,0.6395647154511257,0.97,0.20079999999999998
SCC,3.867630823624728,0.28,0.0092
TISCO,0.5688114812131083,-2.15,-0.3643
TOP,0.8923856371725011,-0.87,-0.33549999999999996
TTB,0.03728059897253984,-0.39,-0.187
TU,0.2567550074181266,1.43,0.2645
WHA,0.05418860065214949,0.2,-0.0496
