Stock,RMSE,Sharpe_Ratio,Strategy_Return
AOT,4.172197828455181,0.37,0.0169
ADVANC,8.729275732473434,1.96,0.2627
BANPU,0.2750073726311389,-1.13,-0.3858
BBL,1.459109601978919,-0.64,-0.1916
BDMS,0.1502154776193332,-0.56,-0.1365
BEM,0.3941892883250568,-1.38,-0.2983
BH,1.9327721344339,2.52,0.5345
BTS,0.4576730066766896,-0.53,-0.1595
CBG,1.114014685246676,-0.02,-0.0971
CENTEL,0.5314186134562086,0.53,0.048499999999999995
COM_7,0.1073795173441373,-2.4,-0.5318999999999999
CPALL,0.4080102385363612,0.59,0.0533
CPF,0.320685242924637,0.25,-0.0019
CPN,0.8719641882685298,0.09,-0.0662
DELTA,0.1160998535126762,0.63,0.0787
EA,0.6086842005152366,0.92,0.1549
EGCO,25.37872094835312,1.01,0.1741
GLOBAL,0.1474948885259947,0.96,0.18109999999999998
GPSC,0.6460573770817416,0.06,-0.0738
HMPRO,0.08914446084499728,1.15,0.2359
INTUCH,0.4433956878559475,1.18,0.16870000000000002
IVL,0.8833504740582963,0.88,0.1589
KBANK,3.081833590572483,-1.09,-0.3089
KTB,0.1846802162213814,-1.78,-0.36479999999999996
KTC,0.4055869476717748,0.34,-0.0096
LH,0.1154398130413912,-0.59,-0.1577
MINT,0.4929492492436024,-0.84,-0.32549999999999996
MTC,0.4341357006912844,-2.02,-0.5585
PTT,0.3343593823426979,0.95,0.17379999999999998
PTTEP,1.136177091220735,-0.27,-0.22579999999999997
PTTGC,0.9837092841610244,0.14,-0.0932
RATCH,1.476378122097828,-1.07,-0.2364
SAWAD,1.32654997829547,-1.35,-0.44020000000000004
SCC,3.764829371436301,0.51,0.0536
TISCO,0.587716900301802,-0.14,-0.0767
TOP,1.185640833080377,-0.1,-0.1508
TTB,0.03840999753394053,-0.48,-0.2158
TU,0.2998293842499397,1.19,0.2024
WHA,0.05004617920206431,0.89,0.1613
