Stock,RMSE,Sharpe_Ratio,Strategy_Return
AOT,0.9821199680830298,0.86,0.0705
ADVANC,1.726403014804746,2.86,0.19519999999999998
BANPU,0.1621458798710635,-0.46,-0.0781
BBL,1.636087561167622,-1.13,-0.0759
BDMS,0.2646255676423751,2.06,0.1905
BEM,0.08724739586300924,-0.5,-0.0438
BH,1.866098092235729,1.64,0.1478
BTS,0.05568449460770142,-0.41,-0.061399999999999996
CBG,1.531325973318365,0.11,-0.009300000000000001
CENTEL,0.651921155194164,-1.89,-0.1457
COM_7,0.999864611317382,2.49,0.507
CPALL,0.5536368337843716,-1.39,-0.1282
CPF,0.3296064635363267,0.81,0.0721
CPN,1.382768432594191,2.59,0.2488
DELTA,1.453631498971103,2.6,0.5440999999999999
EA,0.8287830582051381,-1.43,-0.22719999999999999
EGCO,2.241335526372165,0.18,0.0051
GLOBAL,0.2112648309932339,2.31,0.3115
GPSC,0.8551898972078174,1.33,0.19190000000000002
HMPRO,0.1488495347747917,0.16,0.0028000000000000004
INTUCH,0.5958603434566604,2.76,0.2091
IVL,0.5677254295187348,-0.88,-0.14730000000000001
KBANK,1.800244684241204,2.77,0.215
KTB,0.1961531526591567,1.34,0.1188
KTC,0.5704696253206104,2.01,0.20309999999999997
LH,0.08600511195242673,0.74,0.051399999999999994
MINT,0.5260712465417414,-1.26,-0.1343
MTC,1.459703496982414,2.61,0.3815
PTT,0.4479293244870095,2.29,0.1588
PTTEP,1.536534319436893,4.91,0.43670000000000003
PTTGC,0.7655834400887958,3.05,0.40159999999999996
RATCH,0.3550235155331657,-1.18,-0.1213
SAWAD,0.8254173921843182,0.46,0.039900000000000005
SCC,3.103230297544998,-1.34,-0.09539999999999998
TISCO,0.7485780355400691,0.73,0.024399999999999998
TOP,0.9538978321496236,-0.12,-0.0216
TTB,0.02267675374517339,1.63,0.154
TU,0.202380860608497,-1.37,-0.1112
WHA,0.04725963010995359,3.02,0.41859999999999997
