Stock,RMSE,Sharpe_Ratio,Strategy_Return
AOT,0.7096169040099476,1.56,0.1413
ADVANC,3.178357682488482,3.76,0.2631
BANPU,0.3193149824086327,-1.15,-0.1563
BBL,1.211357420293859,0.44,0.023399999999999997
BDMS,0.3068178381130099,1.63,0.1459
BEM,0.1046609104305707,0.8,0.054400000000000004
BH,4.152329976271159,0.93,0.0762
BTS,0.08537119599138078,-0.65,-0.0868
CBG,1.49548693890485,-0.56,-0.0955
CENTEL,0.6755815087456275,-1.76,-0.13720000000000002
COM_7,3.088385155791436,1.83,0.33990000000000004
CPALL,0.741534299180426,0.04,-0.0074
CPF,0.4325025040704055,0.81,0.0721
CPN,0.7940472169631366,1.59,0.1434
DELTA,2.571850020677458,1.63,0.2937
EA,1.1039229825387,-0.66,-0.12710000000000002
EGCO,3.805267580095438,-0.19,-0.0345
GLOBAL,0.2373045928427065,1.23,0.1457
GPSC,1.616698342936687,3.69,0.6993
HMPRO,0.2464064877929733,1.86,0.1932
INTUCH,0.8068557208145126,3.25,0.2511
IVL,0.8819759382069889,0.84,0.1025
KBANK,2.417987554783337,1.93,0.1436
KTB,0.1606844902985442,2.2,0.20980000000000001
KTC,2.328716321176127,3.25,0.35409999999999997
LH,0.09637962153476581,0.4,0.024300000000000002
MINT,0.7938156193871092,-0.51,-0.0641
MTC,0.8791380990030606,1.72,0.2304
PTT,0.4750959960868219,2.53,0.1773
PTTEP,1.896375776335382,2.12,0.1709
PTTGC,1.51322462765149,1.29,0.1441
RATCH,0.4790977707121164,0.24,0.011899999999999999
SAWAD,0.9055521364369896,-0.44,-0.075
SCC,6.209308329606197,-1.34,-0.09539999999999998
TISCO,0.8758972288884409,2.34,0.0834
TOP,1.209367786501802,-1.81,-0.1636
TTB,0.02340750143297047,0.97,0.084
TU,0.2451114800933339,-1.19,-0.0987
WHA,0.08488156076777706,2.11,0.2728
